City,Date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Mean Apparent Temp (°C),Sunrise,Sunset,Max Wind Speed (10m) (km/h),Max Wind Gusts (10m) (km/h),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),PM10,PM2.5,NO,NO2,O3,SO2,CO,NH3,AQI
Islamabad,2024-02-09,18.5,8.5,13.4,17.0,4.8,11.0,2024-02-09T06:58,2024-02-09T17:46,11.8,18.7,348,14.7,320.1716666666667,266.84,105.97500000000001,161.36750000000004,24.43625,57.35999999999999,6437.619583333333,117.13999999999999,5.0
Islamabad,2024-02-10,18.2,9.8,14.0,15.4,6.3,11.3,2024-02-10T06:58,2024-02-10T17:47,12.9,25.2,337,14.67,243.89750000000004,212.01291666666668,27.768333333333334,92.10708333333334,46.17125000000001,22.519583333333333,3313.3824999999997,69.4725,5.0
Islamabad,2024-02-11,18.4,11.4,14.8,16.5,9.0,12.6,2024-02-11T06:57,2024-02-11T17:47,9.7,21.2,327,14.85,225.28666666666672,193.91416666666666,32.17666666666667,98.16249999999998,42.15291666666666,21.562083333333334,3344.535416666667,83.56333333333335,5.0
Islamabad,2024-02-12,19.0,9.2,14.8,17.0,6.1,12.9,2024-02-12T06:56,2024-02-12T17:48,8.3,16.2,342,12.38,263.09083333333336,216.725,108.09583333333335,129.55125,16.02125,41.7825,5683.820416666668,107.11125,4.916666666666667
Islamabad,2024-02-13,19.6,9.4,15.1,16.8,6.2,12.3,2024-02-13T06:55,2024-02-13T17:49,13.5,25.9,336,15.15,235.29249999999993,198.01541666666665,42.04333333333333,89.09500000000001,39.97333333333333,17.93125,3575.9616666666666,56.92250000000001,5.0
Islamabad,2024-02-14,19.8,9.0,14.0,16.3,5.2,10.5,2024-02-14T06:54,2024-02-14T17:50,15.7,29.9,331,15.62,171.91583333333332,143.56791666666666,23.354583333333334,81.03416666666668,39.05583333333333,13.187916666666668,2746.5016666666666,49.03958333333333,4.833333333333333
Islamabad,2024-02-15,21.4,11.7,16.2,19.9,7.9,14.0,2024-02-15T06:53,2024-02-15T17:51,12.8,19.8,340,15.48,326.5470833333333,276.78208333333333,70.95249999999999,167.45041666666665,31.267916666666665,48.01166666666666,5735.556250000001,111.54583333333333,5.0
Islamabad,2024-02-16,21.9,12.4,17.6,19.7,9.0,15.2,2024-02-16T06:52,2024-02-16T17:52,11.5,20.5,14,15.45,267.84125,223.49,77.47375000000001,127.58791666666666,35.22583333333334,36.94083333333334,5225.419583333333,94.31458333333335,4.916666666666667
Islamabad,2024-02-17,22.5,14.2,18.2,20.6,11.4,16.1,2024-02-17T06:51,2024-02-17T17:53,13.0,23.4,61,14.78,191.4233333333333,157.66875000000002,34.225416666666675,78.50958333333334,55.05375,21.15291666666667,3139.535416666667,54.045416666666675,4.875
Islamabad,2024-02-18,17.3,12.6,15.1,13.9,10.3,12.4,2024-02-18T06:50,2024-02-18T17:54,25.5,47.2,96,4.95,69.30416666666666,61.99708333333333,0.7912500000000001,27.040416666666662,87.91916666666664,7.3075,951.9862499999999,11.926250000000001,3.625
Islamabad,2024-02-19,15.0,9.4,12.6,12.1,6.1,8.9,2024-02-19T06:49,2024-02-19T17:55,39.4,74.5,118,3.76,32.96041666666667,29.155,0.0033333333333333335,19.136666666666667,90.34458333333335,8.573333333333334,744.8995833333335,4.838333333333334,2.8333333333333335
Islamabad,2024-02-20,15.7,8.1,11.3,14.6,6.2,9.7,2024-02-20T06:48,2024-02-20T17:56,10.8,26.6,71,13.49,109.82541666666667,84.02458333333333,31.652083333333326,62.07583333333332,31.231250000000003,13.76625,2662.499583333333,21.089166666666667,4.208333333333333
Islamabad,2024-02-21,17.0,8.5,12.2,14.8,5.6,9.6,2024-02-21T06:46,2024-02-21T17:57,14.1,25.9,358,14.54,139.26,110.24083333333333,60.73625000000002,70.80874999999999,29.005000000000006,16.539583333333333,3399.0537500000005,44.73791666666667,4.416666666666667
Islamabad,2024-02-22,16.7,8.0,12.0,13.9,4.9,9.0,2024-02-22T06:45,2024-02-22T17:58,11.5,24.5,332,16.07,133.3829166666667,106.75708333333331,43.14041666666666,66.38583333333334,32.574999999999996,11.579166666666667,2905.329166666667,38.05041666666667,4.458333333333333
Islamabad,2024-02-23,16.5,7.1,11.4,13.5,3.4,8.2,2024-02-23T06:44,2024-02-23T17:58,13.6,27.4,332,16.11,121.93624999999999,98.40083333333332,36.76875,70.98708333333335,33.540416666666665,14.133750000000004,2761.522916666667,47.13125,4.458333333333333
